mode,learner,learning_gain,accuracy,latency_ms,memory_mb,cpu_percent,bandwidth_kb,resource_score,personalisation_retention_ratio
bkt_only,499.5,0.06805351791432435,0.3663728930785051,3.996148520404765,14.546890296505714,37.61988286484225,0.0,0.45,1.0
hybrid_no_resource,499.5,0.08877532640887141,0.3873405645864869,5.006158634342546,17.54632430563178,45.528268824727924,0.0,0.45,1.0572304117037636
ml_only,499.5,0.05879162649121582,0.36376117160273713,9.000715578394553,29.51684684415568,77.56304798085685,0.0,0.45,0.9928714118180999
resource_aware_hybrid,499.5,0.10873991658130824,0.40795494518422265,3.998831810363632,14.516145839781892,37.64318353933559,0.0,0.45,1.1134965301507922
resource_aware_no_forgetting,499.5,0.07824782873746199,0.37996384315171683,3.9950631698595287,14.48891951221058,37.53987393174496,0.0,0.45,1.037095948772333
resource_aware_no_misconception,499.5,0.07756341115208405,0.3818701449014663,4.004039425377265,14.494390779991686,37.62973615605551,0.0,0.45,1.0422991223306481
resource_aware_no_prerequisites,499.5,0.06729867969424448,0.3716171334178132,4.000694726732548,14.502662128520143,37.52248883549791,0.0,0.45,1.0143139419929312
resource_aware_no_uncertainty,499.5,0.07756533061856613,0.3717501098271961,3.998333744629584,14.486625817256419,37.55921471994317,0.0,0.45,1.0146768957263952
rule_based,499.5,0.0483742134976202,0.3507092510908851,2.001738459515794,8.532630177918492,21.462132013231717,0.0,0.45,0.9572467224417073
static_curriculum,499.5,0.016064581387488105,0.31870300030902776,0.9923828730991755,5.504065719151095,13.43621860963984,0.0,0.45,0.8698869548756086
